Сутки,рН,Оптическая плотность,"Кол-во клеток(всего), КОЕ/мл","Сухая масса, г","Отношение биомассы к объему, г/л",Среда
0,6.3900,0.1610,0.5600,0.0005,0.0200,BG-11
0,6.3900,0.2170,0.4400,0.0005,0.0200,BG-11
0,6.3500,0.1930,0.4900,0.0005,0.0200,BG-11
3,6.4500,0.5890,1.6600,0.0010,0.0476,BG-11
3,6.4900,0.7050,1.3900,0.0010,0.0476,BG-11
3,6.5100,0.6130,1.2200,0.0010,0.0476,BG-11
6,6.8500,1.1530,2.2100,0.0036,0.1714,BG-11
6,6.8600,1.0140,1.9600,0.0036,0.1714,BG-11
6,6.7600,1.2280,2.5600,0.0036,0.1714,BG-11
9,7.0600,1.3650,2.6500,0.0053,0.2524,BG-11
9,6.9600,1.3530,2.6300,0.0053,0.2524,BG-11
9,6.9600,1.2780,2.7800,0.0053,0.2524,BG-11
12,7.2200,1.6470,3.8400,0.0075,0.3125,BG-11
12,6.8800,1.0770,2.9800,0.0075,0.3125,BG-11
12,7.0100,1.4950,3.6600,0.0075,0.3125,BG-11
0,6.3500,0.3060,0.1600,0.0004,0.0167,BG-11 с пониженным содержанием азота
0,6.3100,0.2340,0.2300,0.0004,0.0167,BG-11 с пониженным содержанием азота
0,6.3000,0.2010,0.3000,0.0004,0.0167,BG-11 с пониженным содержанием азота
3,6.5300,0.6420,1.5600,0.0016,0.0889,BG-11 с пониженным содержанием азота
3,6.5700,0.7800,1.7800,0.0016,0.0889,BG-11 с пониженным содержанием азота
3,6.6200,0.7070,1.6100,0.0016,0.0889,BG-11 с пониженным содержанием азота
6,6.9600,1.0660,2.8600,0.0023,0.1095,BG-11 с пониженным содержанием азота
6,6.8400,0.9670,2.2600,0.0023,0.1095,BG-11 с пониженным содержанием азота
6,6.8800,1.1590,2.6900,0.0023,0.1095,BG-11 с пониженным содержанием азота
9,6.9000,1.1100,2.8900,0.0047,0.2238,BG-11 с пониженным содержанием азота
9,6.8800,1.2960,3.1200,0.0047,0.2238,BG-11 с пониженным содержанием азота
9,6.9200,1.0390,2.8000,0.0047,0.2238,BG-11 с пониженным содержанием азота
12,6.9200,1.3140,3.4700,0.0071,0.3227,BG-11 с пониженным содержанием азота
12,6.9000,1.2010,3.0700,0.0071,0.3227,BG-11 с пониженным содержанием азота
12,6.8800,1.2540,2.9600,0.0071,0.3227,BG-11 с пониженным содержанием азота
0,7.7300,0.3170,0.5200,0.0004,0.0160,рисовый экстракт 100г
0,7.7400,0.3070,0.5000,0.0004,0.0160,рисовый экстракт 100г
0,7.6500,0.3320,0.6000,0.0004,0.0160,рисовый экстракт 100г
3,7.7500,0.8100,0.9820,0.0016,0.0762,рисовый экстракт 100г
3,7.7100,0.8790,1.1560,0.0016,0.0762,рисовый экстракт 100г
3,7.6800,0.8660,0.9910,0.0016,0.0762,рисовый экстракт 100г
6,7.7000,0.8300,1.0140,0.0019,0.1000,рисовый экстракт 100г
6,7.8600,0.8350,1.1100,0.0019,0.1000,рисовый экстракт 100г
6,7.7300,0.8770,1.3600,0.0019,0.1000,рисовый экстракт 100г
9,7.7600,0.8970,1.7260,0.0037,0.1762,рисовый экстракт 100г
9,7.7000,0.8830,1.7830,0.0037,0.1762,рисовый экстракт 100г
9,7.8600,0.9190,1.6970,0.0037,0.1762,рисовый экстракт 100г
12,8.0300,1.2900,1.6000,0.0057,0.4071,рисовый экстракт 100г
12,7.9800,0.9270,1.7400,0.0057,0.4071,рисовый экстракт 100г
12,8.0100,1.0170,1.9100,0.0057,0.4071,рисовый экстракт 100г
0,6.9200,0.2700,0.2600,0.0005,0.0200,рисовый экстракт 200г
0,7.0300,0.3200,0.3000,0.0005,0.0200,рисовый экстракт 200г
0,7.1100,0.3800,0.3100,0.0005,0.0200,рисовый экстракт 200г
3,7.9800,0.5230,0.4000,0.0013,0.0565,рисовый экстракт 200г
3,7.8900,0.5800,0.4300,0.0013,0.0565,рисовый экстракт 200г
3,7.8500,0.5570,0.4200,0.0013,0.0565,рисовый экстракт 200г
6,8.8800,0.8140,0.6400,0.0032,0.1524,рисовый экстракт 200г
6,8.8700,0.7410,0.5700,0.0032,0.1524,рисовый экстракт 200г
6,8.0200,0.7030,0.5000,0.0032,0.1524,рисовый экстракт 200г
9,8.8700,0.8930,1.0600,0.0058,0.2636,рисовый экстракт 200г
9,8.9700,0.7350,1.0100,0.0058,0.2636,рисовый экстракт 200г
9,9.0200,0.7870,0.9970,0.0058,0.2636,рисовый экстракт 200г
12,9.2900,0.9490,1.2500,0.0081,0.5785,рисовый экстракт 200г
12,9.1900,0.8630,1.1300,0.0081,0.5785,рисовый экстракт 200г
12,9.1000,0.8180,0.8440,0.0081,0.5785,рисовый экстракт 200г